Quartiere struttura;Struttura;Tipo struttura;Numero iscritti
BORGO PANIGALE;ALDO MORO INFANZIA;Comunale;75
BORGO PANIGALE;CASA DEL BOSCO;Comunale;72
BORGO PANIGALE;GALLON;Comunale;75
BORGO PANIGALE;GIDA ROSSI;Comunale;100
BORGO PANIGALE;MAZZINI INFANZIA;Comunale;75
BORGO PANIGALE;VILLA MAY;Comunale;75
NAVILE;ADA ZUCCHELLI;Comunale;48
NAVILE;ATTILIA NERI;Comunale;75
NAVILE;CECCARELLI;Comunale;74
NAVILE;COOP. AZZURRA COMUNALE;Comunale;43
NAVILE;COOP. AZZURRA STATALE;Statale;48
NAVILE;DOZZA;Statale;50
NAVILE;FEDERZONI;Comunale;75
NAVILE;FLORA (EX-ACRI);Comunale;99
NAVILE;GIROTONDO;Statale;50
NAVILE;GIUSI DEL MUGNAIO;Comunale;71
NAVILE;GROSSO;Comunale;75
NAVILE;LANZARINI;Comunale;106
NAVILE;MARIA MANZINI;Comunale;93
NAVILE;MARSILI;Comunale;77
NAVILE;NUOVA SCUOLA INFANZIA NAVILE;Statale;50
NAVILE;SUCC. SCUOLA DELL'INFANZIA STATALE DOZZA IL FLAUTO MAGICO;Statale;63
NAVILE;T.BOLZANI;Comunale;73
PORTO;ANDERSEN;Comunale;74
PORTO;DALL'OLIO;Comunale;77
PORTO;DE AMICIS;Statale;75
PORTO;GIUSEPPE DOZZA;Comunale;92
PORTO;GUIDI TERESINA;Comunale;75
PORTO;MAGO MERLINO;Comunale;53
PORTO;MARZABOTTO;Comunale;75
RENO;ALBERTAZZI;Comunale;49
RENO;DON MILANI;Comunale;75
RENO;FANTINI L.;Comunale;75
RENO;GIORGIO MORANDI;Comunale;73
RENO;GIOVANNI XXIII;Statale;48
RENO;IRMA PEDRIELLI;Comunale;150
RENO;PRESI;Comunale;75
RENO;SERAGNOLI;Comunale;105
SAN DONATO;BENINI;Statale;50
SAN DONATO;GARIBALDI;Statale;51
SAN DONATO;GIOANNETTI;Statale;25
SAN DONATO;GUALANDI;Statale;95
SAN DONATO;JOLE BARONCINI;Comunale;93
SAN DONATO;M. ROCCA;Comunale;125
SAN DONATO;NEGRI ADA;Comunale;75
SAN DONATO;PANZINI;Statale;63
SAN DONATO;W.TOBAGI;Comunale;74
SAN VITALE;ANNA FRANK;Comunale;75
SAN VITALE;ARCOBALENO;Comunale;53
SAN VITALE;DON BOSCO;Statale;66
SAN VITALE;G.BETTI PLESSO 2 (ex-Betti 4);Comunale;50
SAN VITALE;G.BETTI PLESSO 3;Comunale;99
SAN VITALE;GIORDANI;Statale;96
SAN VITALE;MARIGHETTO;Comunale;50
SAN VITALE;SCANDELLARA;Statale;74
SAN VITALE;VILLETTA MATTEI;Statale;66
SAN VITALE;XVIII APRILE 1945;Comunale;75
SAN VITALE;ZAMBONI;Comunale;78
SANTO STEFANO;BACCHI;Comunale;50
SANTO STEFANO;BARACCANO;Comunale;75
SANTO STEFANO;BELTRAME;Comunale;66
SANTO STEFANO;CARDUCCI;Comunale;75
SANTO STEFANO;CATTANEO;Comunale;50
SANTO STEFANO;DEGLI ESPOSTI;Comunale;50
SANTO STEFANO;GABELLI;Comunale;45
SANTO STEFANO;GASTONE ROSSI;Comunale;75
SANTO STEFANO;IL MONELLO;Comunale;25
SANTO STEFANO;MARCONI;Statale;75
SANTO STEFANO;MOLINO TAMBURI;Comunale;74
SANTO STEFANO;PADIGLIONE;Comunale;49
SANTO STEFANO;TAMBRONI;Statale;50
SANTO STEFANO;TESTI RASPONI;Comunale;88
SARAGOZZA;ADA GOBETTI;Comunale;75
SARAGOZZA;ANNA SERRA PLESSO 1;Comunale;50
SARAGOZZA;ANNA SERRA PLESSO 2;Comunale;50
SARAGOZZA;ARCO GUIDI COSTA;Comunale;41
SARAGOZZA;ARCO GUIDI PACE;Comunale;100
SARAGOZZA;CANTALAMESSA;Comunale;75
SARAGOZZA;CASAGLIA;Comunale;50
SARAGOZZA;CATERINA DE STEFANI;Comunale;75
SARAGOZZA;MANZOLINI;Statale;50
SARAGOZZA;XXI APRILE;Comunale;50
SAVENA;BRUNO CIARI;Comunale;75
SAVENA;DOMENICO SAVIO;Comunale;75
SAVENA;DOMENICO SAVIO SEDE DISTACCATA;Comunale;50
SAVENA;FERRARI NUOVA;Comunale;56
SAVENA;FERRARI STATALE;Statale;25
SAVENA;GRAZIA DELEDDA;Statale;75
SAVENA;MAZZONI;Comunale;75
SAVENA;PADRE O. MARELLA;Statale;71
SAVENA;PIERO BERTOLINI (ex-Costa);Statale;50
SAVENA;RAOUL FOLLEREAU;Comunale;74
SAVENA;SANZIO RAFFAELLO;Statale;73
SAVENA;SCARLATTI;Comunale;75
SAVENA;VISCARDI;Statale;69
SAVENA;WALT DISNEY;Comunale;99