Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
0001;16;21;;5;;2;2;46
0002;3;;;;;;;3
0003;;;;;;;;
0004;14;4;1;;1;1;3;24
0005;2;;;;;;;2
0006;8;2;;;2;1;2;15
0007;5;;;;;;;5
0008;6;;;;1;1;;8
0009;;;;;;1;;1
0010;14;2;;;;3;5;24
0011;3;;;1;;;;4
0012;61;8;1;4;;22;13;109
0013;19;8;4;;2;6;4;43
0014;5;;;;;;1;6
0015;5;1;;;;2;17;25
0016;5;;;;;;;5
0017;14;1;;1;;1;2;19
0018;3;;;;;;;3
0019;7;2;;;;1;1;11
0020;3;;;;;;;3
0021;5;3;;1;;1;1;11
0022;1;;;;;;;1
0023;;;;;;2;;2
0024;4;;;;;2;;6
0025;;3;;1;3;3;1;11
0026;3;1;;;;1;;5
0027;5;;;1;;1;1;8
0028;;;;1;;;;1
0029;;;;;1;1;;2
0030;3;1;;;;;;4
0031;5;1;;;1;5;5;17
0032;;;;;;;;
0033;6;1;1;;;;;8
0034;1;;;;;;1;2
0035;;;;;;;;
0036;;;;;;;1;1
0037;1;;;;;;1;2
0038;3;;;;;;;3
0039;13;4;2;;4;7;4;34
0040;;;;;;;;
0041;11;;;;;2;1;14
0042;6;3;3;;1;8;5;26
0043;11;2;1;;;;1;15
0044;;;;;;;;
0045;;;;;;;2;2
0046;;;;;;;;
0047;3;;;;;;;3
0048;;;;;;;;
0049;;1;;;;;;1
0050;4;6;1;1;;2;1;15
0051;;;;;;;;
0052;5;1;;;;3;3;12
0053;8;2;1;1;;2;4;18
0054;6;2;1;1;;2;3;15
0055;2;;;;;;;2
0056;;;;;;;;
0057;;;;;;;;
0058;33;;3;2;1;3;5;47
0059;15;2;1;1;1;4;2;26
0060;110;21;6;5;6;30;28;206
0061;1;1;;;1;;;3
0062;100;16;10;9;7;35;30;207
0063;26;1;;1;1;4;4;37
0064;45;7;1;;;4;1;58
0065;26;4;1;1;3;9;20;64
0066;2;;;;;;;2
0067;23;3;;;1;9;3;39
0068;;;;;;1;;1
0069;99;18;2;3;11;22;33;188
0070;54;18;2;3;3;12;21;113
0071;21;5;;;4;4;8;42
0072;;;;;;;;
0073;12;1;1;;1;;1;16
0074;7;4;;2;1;1;;15
0075;;;;;;;;
0076;41;7;;2;2;5;4;61
0077;66;14;5;3;7;12;16;123
0078;58;10;4;;2;13;9;96
0079;111;33;10;10;13;23;24;224
0080;;;;;;;;
0081;77;20;5;2;8;19;11;142
0082;66;21;;1;;12;10;110
0083;;;;;;;;
0084;;;;;;;;
0085;;;;;;;;
0086;;;;;;;;
0087;10;;1;;;1;;12
0088;19;4;1;2;;12;11;49
0089;9;6;2;;1;3;4;25
0090;45;4;1;2;4;10;14;80
0091;19;7;;;1;1;4;32
0092;4;1;;;2;1;4;12
0093;21;1;1;1;;10;9;43
0094;16;5;;;;5;7;33
0095;26;4;3;;1;9;5;48
0096;26;6;;;2;6;3;43
0097;58;12;3;2;5;36;30;146
0098;68;14;1;;1;15;12;111
0099;22;7;1;;;4;9;43
0100;19;7;3;1;;8;4;42
0101;105;17;3;2;2;20;27;176
0102;2;;;;;2;4;8
0103;49;11;7;3;4;3;9;86
0104;56;9;1;;2;15;4;87
0105;38;5;3;;2;1;8;57
0106;2;1;;;1;1;;5
0107;80;17;9;7;1;18;19;151
0108;17;7;1;1;;8;6;40
0109;51;8;3;1;7;22;24;116
0110;17;2;3;;1;6;11;40
0111;15;1;1;;1;7;4;29
0112;35;6;2;;2;7;5;57
0113;75;14;7;1;8;28;26;159
0114;17;1;;1;4;7;12;42
0115;19;;2;;2;15;9;47
0116;26;7;2;2;2;17;10;66
0117;82;12;1;3;6;20;22;146
0118;21;6;2;2;3;12;8;54
0119;1;;;;;;;1
0120;65;5;1;4;;17;14;106
0121;1;;;;;;;1
0122;3;;;;;2;4;9
0123;;;;;;;;
0124;48;13;5;1;6;17;16;106
0125;1;;;;;;;1
0126;;;;;;;;
0127;42;11;5;4;10;32;14;118
0128;;;;;;;;
0129;1;;;;;;;1
0130;26;1;4;2;;2;6;41
0131;;;;;;;4;4
0132;33;13;1;1;3;13;11;75
0133;;;;;;;;
0134;14;1;;2;;;1;18
0135;19;;1;;;3;1;24
0136;;;;;;;;
0137;5;2;2;2;;4;2;17
0138;3;;1;1;1;;;6
0139;6;2;;1;;;1;10
0140;88;31;9;8;5;23;26;190
0141;;1;;;;;;1
0142;92;21;5;4;4;60;40;226
0143;20;1;1;;3;4;9;38
0144;2;1;;;;2;;5
0145;91;25;5;9;8;23;25;186
0146;73;15;4;6;5;40;30;173
0147;49;13;2;4;4;19;15;106
0148;47;12;6;1;1;5;8;80
0149;62;21;7;3;9;14;12;128
0150;61;11;3;2;7;21;20;125
0151;21;3;;2;2;6;7;41
0152;11;5;1;2;1;1;;21
0153;105;18;11;5;4;32;34;209
0154;85;19;6;5;8;30;44;197
0155;88;17;5;2;5;15;15;147
0156;;;;;;;;
0157;;;;;;;;
0158;8;;1;;;2;;11
0159;2;;;;;;4;6
0160;5;2;;;;;1;8
0161;15;1;;;1;;;17
0162;2;;;;;;;2
0163;4;1;;;;;2;7
0164;8;2;;;;4;1;15
0165;5;1;;;;1;2;9
0166;;;;;;;;
0167;;;;;;;;
0168;70;20;4;2;4;21;21;142
0169;109;27;13;4;8;24;13;198
0170;5;1;;;;;1;7
0171;141;34;14;5;14;45;12;265
0172;9;;2;;;;;11
0173;75;28;4;2;3;34;15;161
0174;104;27;4;4;16;57;36;248
0175;1;1;;;;;;2
0176;102;31;2;5;6;8;12;166
0177;79;12;2;4;7;8;22;134
0178;24;1;1;1;1;7;4;39
0179;;;;;;;;
0180;40;9;2;3;2;5;3;64
0181;;;;;;;;
0182;125;23;5;5;5;31;26;220
0183;23;7;3;2;3;7;1;46
0184;2;;;;;;;2
0185;5;1;;;;1;;7
0186;11;2;2;;1;4;2;22
0187;2;;;;;;;2
0188;2;;;;;;;2
0189;1;;;;;1;;2
0190;1;;;;;;;1
0191;9;;;;;;1;10
0192;1;;;;;1;;2
0193;1;;;;;;1;2
0194;3;3;;;;;2;8
0195;1;;;;;;;1
0196;35;11;2;3;1;5;7;64
0197;14;2;1;;;2;1;20
0198;19;4;1;2;1;;4;31
0199;14;6;1;;;;;21
0200;;;;;;;;
0201;27;8;2;1;;3;;41
0202;4;;;;;;;4
0203;22;;2;1;1;3;;29
0204;1;;;;;;;1
0205;51;14;3;4;6;10;6;94
0206;25;10;2;2;4;11;5;59
0207;;;;;;;;
0208;;;;;;;;
0209;;;;;;;;
0210;;;;;;;;
0211;69;10;7;4;9;24;20;143
0212;50;14;4;1;4;14;17;104
0213;17;4;1;;5;9;6;42
0214;25;10;1;1;;12;18;67
0215;17;4;;1;2;5;8;37
0216;32;14;3;4;8;14;18;93
0217;;;;;;;;
0218;2;;;;;1;;3
0219;36;10;3;3;4;11;1;68
0220;2;1;;;;;1;4
0221;1;;1;1;1;1;1;6
0222;;;;;1;;;1
0223;;;;;;;;
0224;;;;;;;;
0225;1;;;;;4;;5
0226;2;2;;1;2;2;1;10
0227;;;;;;;;
0228;3;8;5;;;2;;18
0229;62;19;4;11;9;19;20;144
0230;64;29;5;5;12;31;24;170
0231;17;7;2;1;2;8;2;39
0232;17;8;1;;2;3;1;32
0233;30;9;3;3;3;6;13;67
0234;30;9;2;2;2;9;23;77
0235;10;7;1;;1;10;6;35
0236;10;7;;1;1;4;1;24
0237;23;6;4;2;2;8;7;52
0238;34;6;;5;4;18;15;82
0239;29;13;2;7;1;27;21;100
0240;19;9;;1;6;13;5;53
0241;40;12;3;3;8;23;25;114
0242;62;17;3;3;12;22;41;160
0243;35;11;9;7;15;20;21;118
0244;4;3;;;;2;5;14
0245;;;;;;1;;1
0246;4;;;7;1;6;3;21
0247;47;13;1;8;4;29;17;119
0248;30;11;5;1;4;15;10;76
0249;45;21;11;10;11;39;9;146
0250;15;3;;;;6;14;38
0251;42;17;4;4;6;46;46;165
0252;23;8;1;4;5;7;4;52
0253;;;;;;;;
0254;56;12;3;5;3;28;36;143
0255;44;13;4;5;6;21;13;106
0256;46;22;6;9;8;36;41;168
0257;54;11;5;6;6;30;32;144
0258;52;18;7;3;7;26;16;129
0259;9;4;1;1;1;5;4;25
0260;29;15;2;;3;13;16;78
0261;49;22;9;6;11;33;20;150
0262;51;20;8;7;10;36;31;163
0263;40;30;12;6;15;24;31;158
0264;30;10;2;3;5;11;19;80
0265;44;6;3;1;9;19;28;110
0266;23;10;1;5;3;16;20;78
0267;20;6;1;1;3;12;3;46
0268;37;19;6;3;6;20;14;105
0269;54;18;7;4;10;25;68;186
0270;52;24;7;9;9;38;58;197
0271;12;12;2;4;1;13;7;51
0272;25;7;2;1;3;14;27;79
0273;37;6;;1;2;17;21;84
0274;9;3;4;3;4;10;16;49
0275;11;4;4;2;2;7;4;34
0276;20;12;1;7;3;13;10;66
0277;44;25;6;5;11;33;55;179
0278;6;5;1;1;;8;8;29
0279;26;4;8;2;7;12;15;74
0280;11;7;;2;3;7;12;42
0281;47;14;10;6;16;20;25;138
0282;67;22;11;5;12;23;33;173
0283;73;30;11;4;9;35;38;200
0284;27;9;3;3;3;18;13;76
0285;23;13;;4;6;21;16;83
0286;5;3;1;;1;1;3;14
0287;36;15;5;5;7;31;22;121
0288;60;13;3;1;5;15;7;104
0289;18;10;;1;3;16;15;63
0290;61;20;7;6;9;27;38;168
0291;11;9;1;1;5;14;5;46
0292;4;1;;;;2;;7
0293;23;5;1;1;7;19;4;60
0294;3;2;2;1;2;6;3;19
0295;;;;;;;;
0296;45;19;11;6;10;39;21;151
0297;;;;;;;;
0298;10;3;;;;5;1;19
0299;;;;;;;;
0300;31;5;2;5;3;13;21;80
0301;40;18;4;5;8;17;16;108
0302;2;2;;1;5;1;6;17
0303;41;26;10;5;10;27;49;168
0304;16;10;1;1;3;17;19;67
0305;21;4;1;4;1;6;8;45
0306;50;23;14;3;11;28;31;160
0307;51;17;5;2;5;35;26;141
0308;56;17;4;1;17;30;37;162
0309;38;16;2;7;8;37;34;142
0310;1;;;;;;;1
0311;52;13;5;1;2;20;49;142
0312;37;16;1;6;;14;13;87
0313;48;11;4;3;4;9;18;97
0314;9;1;1;1;;;2;14
0315;35;9;3;4;2;17;13;83
0316;62;22;4;7;5;16;30;146
0317;38;24;4;11;12;27;13;129
0318;39;16;3;5;5;22;31;121
0319;25;9;2;3;6;32;26;103
0320;;;;;;;;
0321;;;;;;;;
0322;40;12;3;6;6;23;20;110
0323;84;39;10;11;14;63;58;279
0324;38;13;7;3;12;38;38;149
0325;71;27;11;6;11;43;56;225
0326;39;11;6;3;7;23;27;116
0327;17;9;1;1;9;13;25;75
0328;23;5;2;4;4;9;7;54
0329;6;4;;2;1;7;6;26
0330;13;3;2;2;3;12;10;45
0331;18;4;2;2;3;12;18;59
0332;27;13;6;6;11;23;24;110
0333;75;34;13;13;10;31;38;214
0334;29;12;1;2;4;15;10;73
0335;46;20;7;3;12;41;36;165
0336;22;10;2;2;5;26;38;105
0337;30;10;5;3;8;25;30;111
0338;15;4;4;2;6;18;21;70
0339;;;;;;;;
0340;34;8;9;3;8;27;15;104
0341;19;6;4;3;3;20;17;72
0342;17;4;2;2;4;17;16;62
0343;;;;;;;;
0344;2;;;;;1;5;8
0345;2;1;;;;;16;19
0346;;;;;;;;
0347;12;9;4;5;6;15;13;64
0348;29;12;2;4;7;22;14;90
0349;28;7;4;;4;9;8;60
0350;12;6;1;1;1;4;11;36
0351;27;9;2;5;6;18;23;90
0352;38;11;6;6;5;21;9;96
0353;18;11;;2;2;8;7;48
0354;35;14;4;2;1;12;4;72
0355;11;4;;1;5;6;8;35
0356;56;22;5;11;19;49;16;178
0357;37;11;2;1;5;20;17;93
0358;43;22;10;3;8;27;24;137
0359;32;17;5;5;6;19;25;109
0360;31;9;6;4;8;25;12;95
0361;27;4;4;1;4;17;32;89
0362;17;9;3;6;2;11;13;61
0363;3;1;;1;;;;5
0364;;;;;;;;
0365;;;;;1;;;1
0366;5;1;;;1;;2;9
0367;4;11;4;;2;1;2;24
0368;;;1;;;;;1
0369;3;;;;;2;2;7
0370;3;2;;2;4;5;14;30
0371;5;2;;;;9;3;19
0372;;;;;;;;
0373;;;;;;;;
0374;;;;;;;;
0375;10;;;1;;1;2;14
0376;55;8;2;7;;32;18;122
0377;13;1;1;;1;8;12;36
0378;38;10;3;;2;20;15;88
0379;17;3;5;2;;11;3;41
0380;14;1;3;;2;2;6;28
0381;11;;1;;1;1;;14
0382;51;5;;6;3;9;15;89
0383;46;8;3;;3;12;7;79
0384;44;22;2;1;12;12;8;101
0385;6;4;;;1;;;11
0386;6;2;;;;3;1;12
0387;14;;;;;;4;18
0388;7;;;1;;;4;12
0389;3;3;2;;;4;;12
0390;16;3;1;1;2;3;2;28
0391;3;;1;1;;1;1;7
0392;20;17;6;3;3;3;24;76
0393;;;;;;;;
0394;23;3;4;1;;7;16;54
0395;20;5;2;1;2;9;12;51
0396;30;8;;;3;8;38;87
0397;50;14;4;;4;14;26;112
0398;104;22;9;4;9;20;15;183
0399;87;25;2;5;5;30;22;176
0400;81;26;5;3;5;19;34;173
0401;19;3;1;;;5;1;29
0402;56;7;6;;5;16;13;103
0403;41;10;4;6;5;3;6;75
0404;111;28;12;6;13;24;17;211
0405;100;28;5;1;4;16;22;176
0406;27;2;2;;;4;11;46
0407;80;18;4;4;6;22;13;147
0408;;;;;;;;
0409;43;9;5;;4;4;8;73
0410;21;3;1;2;4;12;6;49
0411;38;5;3;1;2;6;2;57
0412;66;7;2;3;5;19;21;123
0413;79;30;5;;5;17;31;167
0414;14;3;1;3;2;4;5;32
0415;80;8;3;5;5;29;25;155
0416;28;12;;3;2;8;9;62
0417;88;16;6;3;6;26;20;165
0418;;;;;;;;
0419;9;3;1;;2;3;6;24
0420;1;;;;;;;1
0421;10;2;;1;1;5;;19
0422;3;;;;;1;2;6
0423;6;3;1;1;;1;;12
0424;3;;;;;;;3
0425;15;6;;1;6;9;15;52
0426;6;;;1;1;1;1;10
0427;;;;;;;;
0428;13;5;2;5;;5;11;41
0429;1;;;1;1;;2;5
0430;4;1;1;1;1;6;1;15
0431;23;7;2;4;2;9;5;52
0432;12;;1;2;;3;1;19
0433;;;;;;;;
0434;5;2;;;;3;4;14
0435;35;6;1;;2;15;25;84
0436;;;;;;;;
0437;;;;;;;;
0438;1;;;;;;11;12
0439;65;17;7;5;9;39;22;164
0440;;;;;;;;
0441;5;1;;1;;;2;9
0442;71;23;9;5;8;46;14;176
0443;;;;;;;1;1
0444;49;8;5;4;6;17;19;108
0445;5;1;;;2;;;8
0446;5;2;1;;;1;4;13
0447;36;7;2;4;2;8;6;65
0448;15;6;1;1;;6;9;38
0449;2;1;;;;1;2;6
0450;3;1;;;;;;4
0451;3;;2;1;1;2;;9
0452;137;38;8;14;7;45;27;276
0453;2;1;;;;;;3
0454;4;1;;;2;1;3;11
0455;;;;;;1;;1
0456;;1;;1;;1;;3
0457;6;5;2;;1;8;7;29
0458;14;1;1;1;;;4;21
0459;1;;;;;;;1
0460;7;1;;;;4;2;14
0461;;;;;;;;
0462;;;;;;;2;2
0463;151;47;9;11;17;55;20;310
0464;22;7;4;4;2;7;4;50
0465;19;12;;1;3;10;10;55
0466;50;13;2;2;3;13;6;89
0467;20;8;1;1;4;11;26;71
0468;54;16;1;;5;19;23;118
0469;58;4;2;1;4;10;14;93
0470;9;1;;4;4;4;;22
0471;4;5;;;;2;4;15
0472;47;16;4;3;6;15;16;107
0473;16;8;2;1;1;4;2;34
0474;55;16;3;5;5;16;29;129
0475;;;;;;1;;1
0476;;;;;;;;
0477;3;2;3;1;1;8;;18
0478;11;1;;1;1;4;8;26
0479;;;;;;;;
0480;18;3;1;2;2;3;10;39
0481;53;18;6;2;6;19;7;111
0482;4;2;;1;1;1;;9
0483;11;4;;2;1;;2;20
0484;6;1;2;;1;2;;12
0485;74;17;10;6;11;30;24;172
0486;54;18;2;5;;12;6;97
0487;;;;;;;;
0488;;;;;;;;
0489;2;;;;;1;;3
0490;;;1;;;;;1
0491;8;;;1;;1;;10
0492;;;;;;;;
0493;11;1;1;2;1;1;;17
0494;1;;;;1;1;1;4
0495;6;2;;;;5;2;15
0496;7;1;1;1;;;6;16
0497;4;2;2;;;1;;9
0498;;;;;;;;
0499;11;1;;;;;;12
0500;13;2;1;;;3;2;21
0501;35;13;1;5;4;20;10;88
0502;7;;1;;1;8;;17
0503;174;38;16;16;18;58;35;355
0504;4;;;;;;1;5
0505;;;;;;;;
0506;;;;;;1;;1
0507;;;;;;;;
0508;1;;;;;;;1
0509;6;2;;;;1;1;10
0510;;;;;;;;
0511;;;;;;;;
0512;1;;1;;;;1;3
0513;;;;;;;;
0514;1;1;1;;;1;1;5
0515;;;1;;;;;1
0516;1;;;;;1;;2
0517;13;1;;;3;1;;18
0518;1;;;;;2;;3
0519;;;;;;;;
0520;;;;;;;;
0521;2;;;;;;;2
0522;4;1;;;;;;5
0523;3;1;;;;;;4
0524;3;;;;;;;3
0525;4;;;;;;;4
0526;;;1;;2;4;1;8
0527;;;;;;;;
0528;1;1;;;;1;3;6
0529;;;;;;;;
0530;2;1;;;;;1;4
0531;;;;;;;;
0532;;;;;;;;
0533;;;;;;;;
0534;1;;;2;;2;;5
0535;;;;;;;;
0536;109;34;10;9;10;67;47;286
0537;;;;;;;;
0538;1;;;;1;3;;5
0539;48;21;6;8;8;23;10;124
0540;2;;;;;;;2
0541;1;;;;1;1;;3
0542;7;2;1;;;1;3;14
0543;52;14;5;6;9;17;18;121
0544;8;;;2;;;2;12
0545;112;37;11;5;14;41;18;238
0546;18;3;;1;1;20;5;48
0547;46;23;4;15;7;19;19;133
0548;2;4;1;;1;1;2;11
0549;;;;;;;;
0550;40;12;3;2;3;16;26;102
0551;34;7;5;2;3;15;6;72
0552;64;31;5;9;11;45;31;196
0553;72;15;6;5;15;45;23;181
0554;64;22;6;7;11;29;8;147
0555;1;;;;;;;1
0556;;;;1;;2;;3
0557;;;;;;;;
0558;19;3;1;;1;4;5;33
0559;11;5;1;1;4;5;6;33
0560;;;;1;;;2;3
0561;9;3;;1;;;1;14
0562;79;18;11;8;11;29;40;196
0563;39;9;2;1;1;20;23;95
0564;5;5;;;;;4;14
0565;4;;;;;;;4
0566;2;2;;;1;;;5
0567;3;;;;;;;3
0568;;;;;;;;
0569;13;4;;1;2;10;6;36
0570;36;15;3;3;1;12;13;83
0571;34;14;6;5;6;33;30;128
0572;57;20;7;1;2;10;15;112
0573;46;18;6;4;10;36;33;153
0574;34;22;2;6;4;35;23;126
0575;131;31;10;9;8;27;15;231
0576;73;26;4;9;4;22;7;145
0577;55;15;3;11;8;7;12;111
0578;3;;;;;;;3
0579;13;2;3;;4;2;5;29
0580;2;1;;;;4;1;8
0581;3;;;;1;1;;5
0582;;;;;;;;
0583;;;;;;1;;1
0584;2;2;;;;1;;5
0585;9;1;;1;1;2;3;17
0586;8;2;1;;;3;18;32
0587;5;2;1;;1;1;1;11
0588;14;5;;2;1;11;13;46
0589;75;31;5;6;11;57;28;213
0590;1;1;;;;;;2
0591;15;7;2;2;1;16;8;51
0592;52;10;2;1;8;36;26;135
0593;;;;;;;;
0594;53;18;2;3;6;26;22;130
0595;78;31;7;6;15;29;17;183
0596;23;7;4;2;8;7;9;60
0597;2;1;;;3;4;1;11
0598;61;17;8;8;7;42;18;161
0599;;;;;;;;
0600;2;3;1;;;1;1;8
0601;;;;;;;;
0602;;;;;;;;
0603;18;16;6;1;5;10;8;64
0604;25;16;6;4;7;26;19;103
0605;;;;;;;;
0606;;;;;;;;
0607;;;;;;;;
0608;15;13;4;4;12;16;6;70
0609;27;13;10;6;12;27;11;106
0610;16;14;10;10;11;39;4;104
0611;;;;;;;;
0612;;;;;;;;
0613;7;4;1;;2;5;3;22
0614;37;14;7;6;15;26;8;113
0615;26;13;6;8;7;30;9;99
0616;16;6;9;2;7;13;7;60
0617;19;18;4;5;5;16;4;71
0618;12;8;3;6;7;14;8;58
0619;35;17;10;8;6;26;14;116
0620;8;8;4;6;6;13;7;52
0621;;;;;;;;
0622;;;;;;;;
0623;6;;3;1;1;5;;16
0624;;;;;;;;
0625;4;;3;2;1;6;2;18
0626;17;9;2;1;3;15;18;65
0627;32;18;15;3;14;39;16;137
0628;;;;;;;;
0629;11;6;1;;5;11;4;38
0630;38;11;3;6;11;20;20;109
0631;;;;;;;;
0632;22;14;4;3;5;16;12;76
0633;;;;;;;;
0634;34;14;12;7;17;26;19;129
0635;22;3;1;;4;8;8;46
0636;17;6;1;3;7;7;5;46
0637;50;19;9;9;13;42;19;161
0638;14;16;6;2;7;13;7;65
0639;;1;;1;;;4;6
0640;;;;;;;;
0641;20;7;5;3;10;14;10;69
0642;10;4;1;2;2;7;2;28
0643;23;13;6;3;3;11;5;64
0644;25;16;9;3;8;8;4;73
0645;12;21;13;2;5;9;10;72
0646;33;18;11;7;9;23;21;122
0647;29;1;6;4;5;22;12;79
0648;;;;;;;;
0649;29;8;6;5;7;23;15;93
0650;30;13;8;7;19;36;14;127
0651;34;17;8;13;6;24;16;118
0652;34;10;7;8;11;33;17;120
0653;2;1;;1;;2;1;7
0654;3;5;2;2;2;8;2;24
0655;5;4;3;;2;1;;15
0656;34;19;11;6;9;11;13;103
0657;41;28;11;15;12;23;17;147
0658;;;;;;;;
0659;;;;;;;;
0660;;;;;;;;
0661;40;29;16;12;16;36;21;170
0662;39;23;11;13;12;26;16;140
0663;16;7;5;3;3;9;2;45
0664;10;11;4;7;7;17;5;61
0665;9;19;5;3;11;13;11;71
0666;14;4;6;1;11;16;7;59
0667;18;9;4;10;7;21;27;96
0668;10;14;8;2;1;7;4;46
0669;15;9;1;1;3;17;15;61
0670;32;6;3;3;3;22;12;81
0671;22;12;9;5;12;25;19;104
0672;37;12;6;8;6;24;20;113
0673;15;7;4;6;7;8;5;52
0674;17;14;5;6;13;13;16;84
0675;14;2;2;;3;8;7;36
0676;19;12;2;4;5;10;8;60
0677;7;15;5;3;4;8;11;53
0678;;;;;;;;
0679;15;9;3;3;4;9;2;45
0680;7;2;2;1;1;2;1;16
0681;27;20;9;12;7;20;24;119
0682;9;2;3;2;8;6;6;36
0683;11;4;8;5;11;13;3;55
0684;31;25;11;5;10;28;14;124
0685;;;1;;;;2;3
0686;10;7;3;3;2;6;2;33
0687;2;3;;;;;;5
0688;;;;2;;3;2;7
0689;;;;;;;;
0690;9;7;;2;4;10;2;34
0691;6;3;1;1;5;11;5;32
0692;6;4;3;1;;4;2;20
0693;13;3;1;4;5;5;6;37
0694;7;6;3;1;2;8;2;29
0695;13;4;2;9;4;4;6;42
0696;16;4;3;1;2;9;4;39
0697;14;5;5;4;5;5;6;44
0698;2;2;;;2;2;2;10
0699;;1;3;;2;1;2;9
0700;;;;;;;;
0701;62;25;5;2;13;45;5;157
0702;9;8;1;3;1;14;1;37
0703;9;2;;;1;5;4;21
0704;11;6;3;1;2;6;9;38
0705;43;10;3;8;5;17;21;107
0706;;;;;;;;
0707;45;20;12;8;10;24;26;145
0708;6;;2;2;7;8;;25
0709;;;;;;;;
0710;19;1;1;1;1;3;2;28
0711;18;5;3;4;6;6;1;43
0712;43;13;7;3;5;9;12;92
0713;19;5;1;2;5;8;18;58
0714;35;26;17;7;13;24;4;126
0715;39;13;6;6;4;39;18;125
0716;6;4;2;;5;2;3;22
0717;59;16;4;2;11;20;23;135
0718;25;12;2;;3;10;10;62
0719;43;20;12;5;17;23;15;135
0720;16;9;12;3;7;8;8;63
0721;50;25;5;4;10;37;38;169
0722;38;12;6;5;4;22;14;101
0723;;;;;;;5;5
0724;28;9;2;6;4;13;12;74
0725;13;7;3;5;4;20;13;65
0726;46;14;11;4;10;29;16;130
0727;16;11;7;1;7;35;16;93
0728;24;16;2;2;2;11;10;67
0729;14;3;4;;5;12;4;42
0730;11;10;4;2;3;20;12;62
0731;22;1;3;3;2;16;8;55
0732;22;13;2;5;4;26;17;89
0733;20;10;7;3;15;25;17;97
0734;;;;;;;;
0735;48;18;5;13;6;43;37;170
0736;66;29;15;4;14;36;24;188
0737;16;4;;1;3;7;1;32
0738;34;18;5;3;8;29;25;122
0739;2;1;;;1;1;1;6
0740;11;2;;2;1;1;1;18
0741;32;10;4;4;2;16;16;84
0742;29;10;;8;5;29;9;90
0743;25;9;4;;5;13;3;59
0744;11;1;1;2;3;3;1;22
0745;58;21;5;6;12;32;37;171
0746;73;16;6;9;16;43;43;206
0747;57;12;3;1;4;16;10;103
0748;33;8;1;1;2;5;11;61
0749;32;9;4;2;5;3;9;64
0750;56;16;5;8;5;16;24;130
0751;8;4;1;1;1;4;4;23
0752;33;10;4;4;4;10;5;70
0753;2;;;;;;;2
0754;40;8;3;2;6;26;15;100
0755;36;6;1;2;1;7;2;55
0756;;;;;;;;
0757;;;;;;;;
0758;74;46;14;7;19;41;33;234
0759;29;8;3;1;5;12;1;59
0760;53;19;14;3;29;36;19;173
0761;26;7;7;6;1;26;17;90
0762;;;;;;;;
0763;;;;;;;;
0764;47;20;4;7;14;39;28;159
0765;53;10;7;11;12;49;23;165
0766;44;14;1;8;11;19;20;117
0767;27;13;3;1;3;12;6;65
0768;16;4;4;2;2;10;7;45
0769;;;;;;;;
0770;22;11;2;2;4;23;20;84
0771;20;3;6;2;5;23;17;76
0772;8;6;2;3;7;15;14;55
0773;20;13;;2;6;17;8;66
0774;30;8;3;5;5;26;17;94
0775;27;3;4;4;4;19;21;82
0776;20;15;8;3;4;20;3;73
0777;24;5;4;2;7;14;7;63
0778;22;9;1;5;1;10;5;53
0779;28;15;2;3;4;15;16;83
0780;48;24;6;7;5;43;24;157
0781;8;2;1;4;;;4;19
0782;6;4;;;2;1;1;14
0783;45;17;14;8;12;35;24;155
0784;9;2;1;1;1;2;3;19
0785;6;;1;;;;1;8
0786;77;39;11;1;13;37;20;198
0787;62;18;3;8;9;33;47;180
0788;12;5;;1;3;4;6;31
0789;65;26;5;5;13;28;28;170
0790;80;26;10;3;11;32;27;189
0791;12;2;;;2;3;5;24
0792;;;;;;;;
0793;14;3;;;5;;4;26
0794;20;2;1;1;;3;5;32
0795;20;8;;1;;6;3;38
0796;20;3;2;1;1;8;14;49
0797;11;1;;2;2;7;3;26
