Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
RENO;NIDO D'INFANZIA;ALBICOCCOLE;Privata convenzionata;;VIA EMILIA PONENTE n.121;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;FANTINI L.;Comunale;;VIA LORENZETTI n.8;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;GRAZIELLA FAVA;Comunale;;VIA DEL GIACINTO n.42;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;IL CASTELLO INCANTATO;Privata convenzionata;;VIA MARCOVIGI n.8/B;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;S. ALLENDE;Comunale;;VIA GAMBERINI n.2;BOLOGNA;BOLOGNA
RENO;PICCOLO GRUPPO EDUCATIVO;IL CASTELLO INCANTATO;Privata;;VIA MARCOVIGI n.8/B;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;ALBERTAZZI;Comunale;QUARTIERE RENO;VIA BERRETTA ROSSA n.15;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;CRISTO RE;Privata convenzionata;CRISTO RE;VIA EMILIA PONENTE n.135;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;DON MILANI;Comunale;QUARTIERE RENO;VIA GUCCI n.14;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;FANTINI L.;Comunale;QUARTIERE RENO;VIA LORENZETTI n.8;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;GIORGIO MORANDI;Comunale;QUARTIERE RENO;VIA DEL BECCACCINO n.27;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;GIOVANNI XXIII;Statale;ISTITUTO COMPRENSIVO N. 1;VIA GIOVANNI VERGA n.4;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;IRMA PEDRIELLI;Comunale;QUARTIERE RENO;VIA DEL GIACINTO n.35;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;LUIGI PAGANI;Privata convenzionata;LUIGI PAGANI;VIA PIERO DELLA FRANCESCA n.3;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;PRESI;Comunale;QUARTIERE RENO;VIA TOLSTOI n.1;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;SERAGNOLI;Comunale;QUARTIERE RENO;VIA SPERANZA n.32;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;ALBERTAZZI;Statale;ISTITUTO COMPRENSIVO N. 2;VIA BERRETTA ROSSA n.15;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;CESANA;Statale;ISTITUTO COMPRENSIVO N. 1;VIA GUARDASSONI n.1;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;DE VIGRI;Statale;ISTITUTO COMPRENSIVO N. 2;VIA DEL GIACINTO n.37;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;DRUSIANI EX RIZZO;Statale;ISTITUTO COMPRENSIVO N. 2;VIA SPERANZA n.58;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;GIORGIO MORANDI;Statale;ISTITUTO COMPRENSIVO N. 1;VIA DEL BECCACCINO n.27;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;GIOVANNI XXIII PRIMARIA;Statale;ISTITUTO COMPRENSIVO N. 1;VIA LEONARDO DA VINCI n.3;BOLOGNA;BOLOGNA
RENO;SCUOLA SECONDARIA DI PRIMO GRADO;GIUSEPPE DOZZA;Statale;ISTITUTO COMPRENSIVO N. 1;VIA DE CAROLIS n.23;BOLOGNA;BOLOGNA
RENO;SCUOLA SECONDARIA DI PRIMO GRADO;ZANOTTI;Statale;ISTITUTO COMPRENSIVO N. 2;VIA DEL GIACINTO n.39;BOLOGNA;BOLOGNA
RENO;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO INDUSTRIALE ODONE BELLUZZI;Statale;ISTITUTO TECNICO INDUSTRIALE STATALE O. BELLUZZI;VIA GIOVANNI DOMENICO CASSINI n.3;BOLOGNA;BOLOGNA
RENO;SEZIONE PRIMAVERA;CRISTO RE;Privata convenzionata;;VIA EMILIA PONENTE n.135;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;BALU';Privata convenzionata;;VIA DELLA REPUBBLICA n.23/3;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;FILONIDO;Comunale in concessione;;Via della Villa  n.1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;L'ARCOBALENO DEI PULCINI;Privata convenzionata;;VIA VESTRI n.2/1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;M.L. ALPI ;Comunale;;VIA BENINI n.1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;M.L. ALPI (con sez. PICCOLI-COCCINELLE ae 2010/2011);Comunale;;VIA BENINI n.1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;NEGRI ADA;Comunale;;VIA CAMPANA n.53;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;PRIMAVERA;Comunale;;VIA DELLA TORRETTA n.36;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;S.DONATO;Comunale;;VIA PETROLINI n.6;BOLOGNA;BOLOGNA
SAN DONATO;NIDO D'INFANZIA;VESTRI;Comunale;;VIA VESTRI n.6;BOLOGNA;BOLOGNA
SAN DONATO;NIDO INTERAZIENDALE;FILONIDO (Gruppo HERA);Privata;;Via della Villa n.1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO INTERAZIENDALE;FILONIDO (LegaCoop);Privata;;Via della Villa n.1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO INTERAZIENDALE;FILONIDO (Regione Emilia Romagna);Privata;;Via della Villa n.1;BOLOGNA;BOLOGNA
SAN DONATO;NIDO INTERAZIENDALE;FILONIDO (Unipol);Privata;;Via della Villa n.1;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;BENINI;Statale;ISTITUTO COMPRENSIVO N. 11;VIA BENINI n.3;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;GARIBALDI;Statale;ISTITUTO COMPRENSIVO N. 11;VIA ANDREINI n.41;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;GIOANNETTI;Statale;ISTITUTO COMPRENSIVO N. 10;VIA GIOANNETTI n.2;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;GUALANDI;Statale;ISTITUTO COMPRENSIVO N. 10;VIA BEROALDO n.2;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;JOLE BARONCINI;Comunale;QUARTIERE SAN DONATO;VIA BENINI n.1;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;M. ROCCA;Comunale;QUARTIERE SAN DONATO;VIA GANDUSIO n.4;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;NEGRI ADA;Comunale;QUARTIERE SAN DONATO;VIA CAMPANA n.53;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;PANZINI;Statale;ISTITUTO COMPRENSIVO N. 11;VIA PANZINI n.3;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA DELL'INFANZIA;W.TOBAGI;Comunale;QUARTIERE SAN DONATO;VIALE ZAGABRIA n.1;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA PRIMARIA;CHIOSTRI;Statale;ISTITUTO COMPRENSIVO N. 10;VIA ATHOS BELLETTINI n.7;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA PRIMARIA;DON MINZONI;Statale;ISTITUTO COMPRENSIVO N. 11;VIA VALPARASIO n.2;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA PRIMARIA;GARIBALDI PRIMARIA;Statale;ISTITUTO COMPRENSIVO N. 11;VIA FILIPPO BEROALDO n.34;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA PRIMARIA;GUALANDI PRIMARIA;Statale;ISTITUTO COMPRENSIVO N. 10;VIA DELL'ARTIGIANO n.5;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA PRIMARIA;ROMAGNOLI;Statale;ISTITUTO COMPRENSIVO N. 11;VIA ALFREDO PANZINI n.3;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA SECONDARIA DI PRIMO GRADO;BESTA;Statale;ISTITUTO COMPRENSIVO N. 10;VIALE ALDO MORO n.31;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA SECONDARIA DI PRIMO GRADO;SAFFI;Statale;ISTITUTO COMPRENSIVO N. 11;VIA ALFREDO PANZINI n.1;BOLOGNA;BOLOGNA
SAN DONATO;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO NICCOLO' COPERNICO;Statale;LICEO N. COPERNICO;VIA GARAVAGLIA n.11;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;GOZZADINI;Comunale;QUARTIERE S.STEFANO ;VIALE GOZZADINI n.11/2;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;IL MONELLO;Comunale;QUARTIERE S.STEFANO ;VIA PELLIZZA DA VOLPEDO n.11;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;KIMBA;Privata convenzionata;QUARTIERE S.STEFANO ;VIA GHIRARDACCI n.1;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;LA NUVOLA;Privata convenzionata;QUARTIERE S.STEFANO ;VIALE ORIANI n.40;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;LA TORTA IN CIELO;Privata;QUARTIERE S.STEFANO ;VIA ORFEO n.32/5A;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;LUNETTA;Comunale;QUARTIERE S.STEFANO ;VIA P.DA VOLPEDO n.11;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;ROMAGNOLI;Comunale;QUARTIERE S.STEFANO ;VIA CATALANI n.4/2;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;TOVAGLIE;Comunale;QUARTIERE S.STEFANO ;VIA TOVAGLIE n.4;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;VILLA TERESA;Comunale;QUARTIERE S.STEFANO ;VIA PUTTI n.32;BOLOGNA;BOLOGNA
SANTO STEFANO;NIDO D'INFANZIA;ZUCCHERO FILATO;Comunale;QUARTIERE S.STEFANO ;VIALE ALDINI n.50;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;BACCHI;Comunale;QUARTIERE S.STEFANO ;VIA BELLOMBRA n.28/3;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;BARACCANO;Comunale;QUARTIERE S.STEFANO ;VIA PASCOLI n.3;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;BELTRAME;Comunale;QUARTIERE S.STEFANO ;VIA PUTTI n.32;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;CARDUCCI;Comunale;QUARTIERE S.STEFANO ;VIA DANTE n.3;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;CATTANEO;Comunale;QUARTIERE S.STEFANO ;LARGO LERCARO n.10;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;CERRETA;Privata convenzionata;CENTRO SCOLASTICO CERRETA;VIA BERENGARIO DA CARPI n.8;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;DANIELE MANDRIOLI  BASTELLI;Privata convenzionata;DANIELE MANDRIOLI BASTELLI ;VIA S.MAMOLO n.139;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;DEGLI ESPOSTI;Comunale;QUARTIERE S.STEFANO ;PIAZZALE JACCHIA (INTERNO GIARDINI MARGHERITA) n.1;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;GABELLI;Comunale;QUARTIERE S.STEFANO ;VIA BELLOMBRA n.28/3;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;GASTONE ROSSI;Comunale;QUARTIERE S.STEFANO ;VIA NADI n.23;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;IL MONELLO;Comunale;QUARTIERE S.STEFANO ;VIA PELLIZZA DA VOLPEDO n.11;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;IST.ORTOPEDICO RIZZOLI;Statale;DIREZIONE DIDATTICA 8° CIRCOLO ;VIA GIULIO CESARE PUPILLI n.2;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;ISTITUTO SAN GIUSEPPE;Privata convenzionata;ISTITUTO SAN GIUSEPPE ;VIA MURRI n.74;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;KINDER HAUS;Privata convenzionata;KINDER HAUS COLLEGE;VIA CINO DA PISTOIA n.7;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;MAGGIORE;Privata non paritaria;MAGGIORE;VICOLO POSTERLA n.22;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;MARCONI;Statale;DIREZIONE DIDATTICA 13° CIRCOLO;VIA LAURA BASSI n.22;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;MOLINO TAMBURI;Comunale;QUARTIERE S.STEFANO ;PIAZZALE JACCHIA (INTERNO GIARDINI MARGHERITA) n.2;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;PADIGLIONE;Comunale;QUARTIERE S.STEFANO ;VIA TOVAGLIE n.4;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;SAN PIETRO MARTIRE;Privata convenzionata;SAN PIETRO MARTIRE;VIA ORFEO n.29;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;SAN SEVERINO;Privata convenzionata;SAN SEVERINO;VIA DAGNINI n.23/2;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;SANTA GIULIANA;Privata convenzionata;SANTA GIULIANA ;VIA MAZZINI n.90;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;TAMBRONI;Statale;DIREZIONE DIDATTICA 13° CIRCOLO;VIA MURRI n.158;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA DELL'INFANZIA;TESTI RASPONI;Comunale;QUARTIERE S.STEFANO ;VIA MURRI n.159;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;CARDUCCI;Statale;DIREZIONE DIDATTICA 8° CIRCOLO ;VIA DANTE n.3;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;CERRETA;Privata paritaria;CENTRO SCOLASTICO CERRETA;VIA BERENGARIO DA CARPI n.8;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;CREMONINI ONGARO;Statale;DIREZIONE DIDATTICA 8° CIRCOLO ;VIA BELLOMBRA n.28;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;DANIELE MANDRIOLI  BASTELLI;Privata paritaria;DANIELE MANDRIOLI BASTELLI ;VIA S.MAMOLO n.139;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;DON MILANI;Statale;DIREZIONE DIDATTICA 13° CIRCOLO;VIA LARGO LERCARO n.10;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;FORTUZZI;Statale;DIREZIONE DIDATTICA 8° CIRCOLO ;VIALE POLISCHI n.2;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;IST.ORTOPEDICO RIZZOLI;Statale;DIREZIONE DIDATTICA 8° CIRCOLO ;VIA GIULIO CESARE PUPILLI n.2;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;ISTITUTO SAN GIUSEPPE;Privata paritaria;ISTITUTO SAN GIUSEPPE ;VIA MURRI n.74;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;KINDER COLLEGE;Privata paritaria;KINDER HAUS COLLEGE;VIA OSSERVANZA n.88;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;MARCONI;Statale;DIREZIONE DIDATTICA 13° CIRCOLO;VIA LAURA BASSI n.22;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;SANTA GIULIANA;Privata paritaria;SANTA GIULIANA ;VIA MAZZINI n.90;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA PRIMARIA;TAMBRONI;Statale;DIREZIONE DIDATTICA 13° CIRCOLO;VIA MURRI n.158;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;CARDUCCI 2;Statale;SM   ROLANDINO DE' PASSAGGERI - CARLO PEPOLI;VIA D'AZEGLIO n.82;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;CERRETA;Privata paritaria;CENTRO SCOLASTICO CERRETA;VIA BERENGARIO DA CARPI n.8;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;IST.ORTOPEDICO RIZZOLI;Statale;ISTITUTO COMPRENSIVO N. 10;VIA GIULIO CESARE PUPILLI n.2;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO SAN GIUSEPPE;Privata paritaria;ISTITUTO SAN GIUSEPPE ;VIA MURRI n.74;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;PEPOLI  (sede distaccata);Statale;SM   ROLANDINO DE' PASSAGGERI - CARLO PEPOLI;LARGO CARDINALE GIACOMO LERCARO n.14;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;ROLANDINO DA PASSEGGERI  E PEPOLI (Presidenza);Statale;SM   ROLANDINO DE' PASSAGGERI - CARLO PEPOLI;VIA PASCOLI n.5;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI PRIMO GRADO;S.STEFANO;Comunale;QUARTIERE S.STEFANO ;VIA.S.STEFANO n.119;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUO SUPERIORE SCAPPI;Statale;ISTITUTO ALBERGHIERO  B. SCAPPI  CASTEL SAN PIETRO T.;VIALE TEME n.1054;CASTEL SAN PIETRO TERME;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUTO ETTORE MAJORANA;Statale;ISTITUTO TECNICO ST.  E. MAJORANA SAN LAZZARO DI SAVENA;CASELLE n.26;SAN LAZZARO DI SAVENA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUTO MATTEI ;Statale;ISTITUTO MATTEI ;VIA DELLE RIMEBRANZE  n.26;SAN LAZZARO DI SAVENA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO  L. GALVANI;Statale;LICEO GALVANI ;CASTIGLIONE n.38;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO ARTISTICO F. ARCANGELI - ISTITUTO D'ARTE;Statale;LICEO ARTISTICO F. ARCANGELI - ISTITUTO D'ARTE;VIA MARCHETTI n.22;BOLOGNA;BOLOGNA
SANTO STEFANO;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO CLASSICO MARCO MINGHETTI SUCC.;Statale;LICEO CLASSICO MINGHETTI;VICOLO STRADELLACCIO n.2;BOLOGNA;BOLOGNA
SANTO STEFANO;SEZIONE PRIMAVERA;CERRETA;Privata convenzionata;CENTRO SCOLASTICO CERRETA;VIA BERENGARIO DA CARPI n.8;BOLOGNA;BOLOGNA
SANTO STEFANO;SEZIONE PRIMAVERA;KINDER HAUS;Privata convenzionata;;VIA CINO DA PISTOIA n.7;BOLOGNA;BOLOGNA
SANTO STEFANO;SEZIONE PRIMAVERA;SAN SEVERINO;Convenzionata;;VIA DAGNINI n.23/2;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;ANNA FRANK;Comunale;;VIA SPARTACO n.1;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;ARCOBALENO;Comunale;;VIA DELL'ARCOBALENO n.17;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;ATELIER DEI PICCOLI;Privata convenzionata;;Via Bonaventura Cavalieri n.1;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;BEN TI VOGLIO SCHOOL;Privata convenzionata;;VIA BENTIVOGLI n.127/2;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;E.F.DE GIOVANNI;Comunale;;VIALE FILOPANTI n.6;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;G. ZACCHERINI ALVISI;Comunale;;VIA ALVISI n.9;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;GIACCAGLIA BETTI;Comunale;;VIA IRNERIO  n.2;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;IL GIARDINO SEGRETO (EX-SANTA MARTA IRIDeS);Privata convenzionata;;VICOLO BORCHETTA n.5;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;NIDO TRENINO CIUF CIUF;Privata convenzionata;;VIA SCANDELLARA n.10/11;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;PHOEBIS;Privata convenzionata;;VIA MASSARENTI n.400/2;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;PIUINSIEME;Comunale;;VIA SANTE VINCENZI n.43;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;SPARTACO;Comunale;;VIA SPARTACO n.27;BOLOGNA;BOLOGNA
SAN VITALE;NIDO D'INFANZIA;XVIII APRILE 1945;Comunale;;VIA SCANDELLARA n.11;BOLOGNA;BOLOGNA
SAN VITALE;PICCOLO GRUPPO EDUCATIVO;I BAMBINI DEL VILLAGGIO;Privata;;VIA SCIPIONE DAL FERRO n.4;BOLOGNA;BOLOGNA
SAN VITALE;PICCOLO GRUPPO EDUCATIVO;I CUCCIOLI;Privata;;VIA MASCARELLA n.104;BOLOGNA;BOLOGNA
SAN VITALE;PICCOLO GRUPPO EDUCATIVO;I GUANTI DEL CONIGLIO;Privata;;VIA DELL'ARCOBALENO n.13;BOLOGNA;BOLOGNA
SAN VITALE;SCUOLA DELL'INFANZIA;ANNA FRANK;Comunale;QUARTIERE SAN VITALE;VIA SPARTACO n.1;BOLOGNA;BOLOGNA
