Quartiere struttura;Struttura;Numero iscritti
BORGO PANIGALE;MARIA GARAGNANI;49
BORGO PANIGALE;SACRO CUORE;66
BORGO PANIGALE;SAN GIUSEPPE;55
NAVILE;BENEDETTO XV;74
NAVILE;MARIA AUSILIATRICE;88
NAVILE;MARIA GARAGNANI;11
NAVILE;SACRO CUORE;59
NAVILE;SANTA MARIA DI LEUCA;84
PORTO;FIGLIE DI SANT'ANNA;42
PORTO;S.TERESA DEL BAMBIN GESU MAESTRE PIE DELL'ADDOLORATA (MONTELLO);47
PORTO;SAN VINCENZO DE' PAOLI;86
RENO;CRISTO RE;40
RENO;LUIGI PAGANI;35
SAN VITALE;MINELLI GIOVANNINI;75
SAN VITALE;SACRA FAMIGLIA;65
SAN VITALE;SANTA RITA;56
SANTO STEFANO;CERRETA;87
SANTO STEFANO;DANIELE MANDRIOLI  BASTELLI;45
SANTO STEFANO;ISTITUTO SAN GIUSEPPE;59
SANTO STEFANO;KINDER HAUS;36
SANTO STEFANO;MAGGIORE;6
SANTO STEFANO;SAN PIETRO MARTIRE;50
SANTO STEFANO;SAN SEVERINO;45
SANTO STEFANO;SANTA GIULIANA;56
SARAGOZZA;COLLEGIO S.LUIGI;52
SARAGOZZA;MARIA AUSILIATRICE;78
SARAGOZZA;SANT'ALBERTO MAGNO;80
SAVENA;CORPUS DOMINI;70
SAVENA;FARLOTTINE - SAN DOMENICO;159
SAVENA;MARIA AUSILIATRICE;70
SAVENA;SAN GIUSEPPE;42
SAVENA;SAN RUFFILLO;52